Method,Pixel Accuracy,IoU,Mean IoU,Precision,Mean Precision,Recall,Mean Recall,F1-Score,Dice Coefficient,Mean Dice Coefficient,Hausdorff Distance,Mean Hausdorff Distance,NO_cells,VJI
2D_5_6_45_M_AD,0.8598766233766234,0.6963580270799841,0.4260081188217122,0.9586473083703,0.6327861915230099,0.7179233307946179,0.5949038759920595,0.8210036041491264,0.8210036041491263,0.5429760523668099,14.0356688476182,10.130523801404417,181,0.369787740594249
2D_5_6_45_M_BI,0.8502305194805195,0.672040354201252,0.4492276947092291,0.9713353542619328,0.7130634118136023,0.6856381242519857,0.5827405882126394,0.8038566204609235,0.8038566204609235,0.5693116994600466,13.038404810405298,9.464204728370213,209,0.3522656237930611
2D_5_6_45_M_AD_BI,0.8594285714285714,0.6964506686764937,0.4421561014756081,0.9542044493967572,0.6870117544880144,0.7205345809306205,0.6062957650548974,0.8210679880480556,0.8210679880480557,0.5627930841229172,10.198039027185567,9.504254250558272,211,0.3377949573202482
2D_5_6_45_M_EQ_AD_BI,0.8124350649350649,0.5908118598688218,0.3626901703460194,0.9617544304673178,0.6251479983316262,0.605026656511805,0.4917765935374246,0.7427803057962368,0.7427803057962368,0.4775583695198937,17.69180601295413,10.749163107860118,172,0.3126567108070835
2D_5_6_45_M_BI_AD,0.8532142857142857,0.6816903292579463,0.4247036126285744,0.9587426228858874,0.6411212374110825,0.7022920973416023,0.5847875759340683,0.8107204012509787,0.8107204012509787,0.5403371293508911,14.035668847618199,9.987727836087187,191,0.34994442854243246
2D_5_6_45_M_EQ_BI_AD,0.8124090909090909,0.5910535442545211,0.37257981305113347,0.9606566429302749,0.6143696591321077,0.6057157364088057,0.4886641518808393,0.7429712801167302,0.7429712801167301,0.4874921851626197,17.69180601295413,10.643525615519465,163,0.3368601218834491
3D_5_6_45_M_AD,0.8526038961038961,0.6776259728455377,0.4004272235966163,0.9699242770747574,0.5251154154885078,0.6921698763282922,0.595401834236457,0.8078391534391535,0.8078391534391535,0.5085289009696039,14.0,11.356248752769556,108,0.4593960148827188
3D_5_6_45_M_BI,0.8557694805194805,0.683366833454504,0.41365449407522015,0.9752512511697929,0.5467500646509174,0.6954266855256954,0.5937197773285842,0.8119048324744997,0.8119048324744996,0.5199183373605248,19.339079605813716,11.231549306557914,111,0.47140718829754236
3D_5_6_45_M_AD_BI,0.8636038961038961,0.7027713511486567,0.40068548481283184,0.9662072118517943,0.5043129125880781,0.7204801798861205,0.6168273368123666,0.8254441803646517,0.8254441803646517,0.5060546942776625,17.804493814764857,11.72367114816583,104,0.4692250453777043
3D_5_6_45_M_EQ_AD_BI,0.761448051948052,0.4732820049607868,0.3150274986798361,0.9759198214312111,0.5606925381091217,0.4788742610524789,0.4149334470169294,0.6424866432457156,0.6424866432457156,0.4257162698475382,15.652475842498529,10.84362251667909,115,0.3430218227178859
3D_5_6_45_M_BI_AD,0.8529707792207792,0.678450084674456,0.40054959960197883,0.9698681445841835,0.5168022590514761,0.6930584267217931,0.5987027611780806,0.80842449932736,0.8084244993273599,0.5077598690694901,14.0,11.366184407465541,106,0.45935887463106917
3D_5_6_45_M_EQ_BI_AD,0.760974025974026,0.47201962176466794,0.3121630857076779,0.9766727507456706,0.5690959032544406,0.4774018061146774,0.40599819420965927,0.641322459002017,0.641322459002017,0.4224909625114698,15.84297951775486,10.801477172019158,117,0.3453892056531962
